numexp,rms_ra,rms_dec,nmatches,point,segment,gaia,det,wcs,cat,label,index
4,10.50789526,14.17667367,3,313,237,3,1,3,0,0,hst_11563_17_wfc3_ir_total_ib5x17
4,2.588163179,1.174068554,3,311,232,3,1,3,0,0,hst_11563_1d_wfc3_ir_total_ib5x1d
4,7.1949280510000015,21.04527838,3,275,204,3,1,3,0,0,hst_11563_29_wfc3_ir_total_ib5x29
2,27.07843664,17.42708113,7,349,228,7,1,3,0,0,hst_11563_55_wfc3_ir_total_ib5x55
4,23.53810669,15.87275117,6,1517,569,7,1,3,0,0,hst_11563_5e_wfc3_ir_total_ib5x5e
8,0.7616112540000001,8.128275184,2,19,31,2,3,3,0,0,hst_11636_04_wfc3_uvis_total_ib6104
4,0.0045515109999999,2.5e-05,2,313,243,4,1,3,5,0,hst_11541_07_wfc3_ir_total_ib6807
8,3.138761302,1.621905008,3,377,629,4,3,3,5,0,hst_11523_2a_wfc3_uvis_total_ib6l2a
6,0.00084501,0.000502804,2,662,288,4,1,3,5,0,hst_11523_2a_wfc3_ir_total_ib6l2a
12,19.40055044,23.33723645,9,2146,327,9,1,3,5,0,hst_11359_07_wfc3_ir_total_ib6o07
6,7.839178035,5.447175206,5,134,118,7,1,3,5,0,hst_11359_11_wfc3_ir_total_ib6o11
12,13.38376615,11.11786921,536,4996,6859,1834,1,3,5,0,hst_11677_13_wfc3_ir_total_ib6v13
16,13.73318485,11.002725300000002,1142,18931,27657,2680,3,3,5,0,hst_11677_13_wfc3_uvis_total_ib6v13
18,16.62349109,14.358452300000002,260,31891,7221,368,3,3,0,0,hst_11360_61_wfc3_uvis_total_ib6w61
7,41.95715870000001,35.58834897,97,3742,1183,261,1,3,0,0,hst_11360_61_wfc3_ir_total_ib6w61
36,17.90680877,18.09574211,318,20656,11474,367,3,3,0,0,hst_11360_62_wfc3_uvis_total_ib6w62
6,57.9400024,51.35085369,92,3769,1020,262,1,3,0,0,hst_11360_62_wfc3_ir_total_ib6w62
16,15.47241954,14.36925639,293,8293,9491,367,3,3,0,0,hst_11360_63_wfc3_uvis_total_ib6w63
7,46.79874476,40.89391355,520,3399,4437,1642,1,3,4,0,hst_11360_d6_wfc3_ir_total_ib6wd6
22,15.31605973,13.70208423,1030,16088,52628,2151,3,3,4,0,hst_11360_d6_wfc3_uvis_total_ib6wd6
4,16.55415742,6.661763998,2,46,39,2,3,3,4,0,hst_11714_71_wfc3_uvis_total_ib7771
8,3.911117872,6.700407205,10,120,134,11,3,3,3,0,hst_11589_07_wfc3_uvis_total_ib7g07
6,2.135274727,18.26208544,2,32,31,2,3,3,3,0,hst_11589_09_wfc3_uvis_total_ib7g09
2,2.0600362480000003,2.57714129,5,0,0,7,3,3,5,0,hst_11696_5d_wfc3_uvis_total_ib8c5d
1,-1.0,-1.0,6,204,159,6,1,2,5,0,hst_11696_5d_wfc3_ir_total_ib8c5d
2,-1.0,-1.0,0,31,18,10,1,2,5,0,hst_11696_5k_wfc3_ir_total_ib8c5k
2,3.623028384,3.119640022,9,0,0,9,3,3,5,0,hst_11696_7x_wfc3_uvis_total_ib8c7x
1,-1.0,-1.0,6,195,167,6,1,2,5,0,hst_11696_7x_wfc3_ir_total_ib8c7x
2,-1.0,-1.0,6,147,72,6,1,2,5,0,hst_11696_8c_wfc3_ir_total_ib8c8c
2,2.840227193,2.77978976,8,0,0,8,3,3,5,0,hst_11696_8c_wfc3_uvis_total_ib8c8c
2,-1.0,-1.0,4,97,57,4,1,2,5,0,hst_11696_a6_wfc3_ir_total_ib8ca6
2,-1.0,-1.0,4,115,72,4,1,2,5,0,hst_11696_ag_wfc3_ir_total_ib8cag
6,4.949466018,4.200664103,7,118,135,7,3,3,5,0,hst_11700_10_wfc3_uvis_total_ib8d10
3,12.97951629,8.0150573,8,320,140,8,1,3,5,0,hst_11700_1k_wfc3_ir_total_ib8d1k
2,1.118033193,1.550186865,5,145,115,6,1,3,5,0,hst_11700_30_wfc3_ir_total_ib8d30
1,0.0,0.0,1,267,199,1,1,3,5,0,hst_11700_61_wfc3_ir_total_ib8d61
2,1.905536883,1.701318665,3,418,198,4,1,3,5,0,hst_11702_59_wfc3_ir_total_ib8e59
6,-1.0,-1.0,11,494,481,130,3,2,3,1,hst_11935_01_wfc3_uvis_total_ibbr01
18,0.0,0.0,1,0,0,2,3,3,3,0,hst_11907_10_wfc3_uvis_total_ibbs10
18,0.0,0.0,1,0,0,2,3,3,3,0,hst_11907_d1_wfc3_uvis_total_ibbsd1
17,0.0,0.0,1,0,0,2,3,3,3,1,hst_11907_o1_wfc3_uvis_total_ibbso1
52,18.99394173,25.4791637,1698,124846,0,4374,3,3,2,1,hst_11911_03_wfc3_uvis_total_ibc303
40,0.0,0.0,1,8,1,4,3,3,3,0,hst_11903_06_wfc3_uvis_total_ibcd06
82,4.4214624680000005,8.860147221,2,1,1,4,3,3,3,0,hst_11903_61_wfc3_uvis_total_ibcd61
28,2.998937888,1.089636557,3,4,6,8,3,3,3,1,hst_11903_b4_wfc3_uvis_total_ibcdb4
2,7.794905927999999,7.647554026,301,1816,3894,519,1,3,2,0,hst_11927_10_wfc3_ir_total_ibce10
32,-1.0,-1.0,0,4,1,4,1,2,2,0,hst_11926_61_wfc3_ir_total_ibcf61
30,23.19196613,21.45926044,13,18,11,14,1,3,2,0,hst_11926_81_wfc3_ir_total_ibcf81
4,1.546381114,2.444039108,4,6,6,117,3,3,5,0,hst_11878_06_wfc3_uvis_total_ibcl06
18,15.26401987,10.972420199999998,336,1783,2661,391,3,3,2,0,hst_12050_12_wfc3_uvis_total_ibdz12
2,16.36947715,23.456965300000004,245,75449,102441,1737,3,3,2,0,hst_12094_09_wfc3_uvis_total_ibe809
4,9.691727214,8.84976319,5,165,105,5,1,3,0,0,hst_12063_0p_wfc3_ir_total_ibeo0p
4,11.76926807,20.47312009,7,152,104,7,1,3,0,0,hst_12060_3z_wfc3_ir_total_ibet3z
2,1.7926553930000002,3.811193939,3,0,0,6,3,3,0,0,hst_12061_gv_wfc3_uvis_total_ibeugv
4,7.914034823,13.80534372,3,117,76,3,1,3,0,0,hst_12061_gv_wfc3_ir_total_ibeugv
2,6.876169771,1.719622152,4,0,0,10,3,3,0,0,hst_12061_it_wfc3_uvis_total_ibeuit
4,28.56280423,25.85441073,4,167,94,8,1,3,0,0,hst_12061_it_wfc3_ir_total_ibeuit
2,2.814051871,6.422889787000001,5,0,0,9,3,3,0,0,hst_12062_eh_wfc3_uvis_total_ibeveh
4,39.71208055,29.8200969,4,130,74,5,1,3,0,0,hst_12062_eh_wfc3_ir_total_ibeveh
4,5.621669357,2.227080991,3,131,92,3,1,3,0,0,hst_12062_eo_wfc3_ir_total_ibeveo
2,12.59308234,6.606597817000001,4,0,0,7,3,3,0,0,hst_12062_eo_wfc3_uvis_total_ibeveo
2,21.66823145,9.10433424,6,0,0,7,3,3,0,0,hst_12062_fz_wfc3_uvis_total_ibevfz
4,0.0,1.15e-08,2,136,80,4,1,3,0,0,hst_12062_fz_wfc3_ir_total_ibevfz
4,19.84947451,8.703051707,5,176,107,5,1,3,0,0,hst_12064_0z_wfc3_ir_total_ibew0z
4,29.65946156,34.09402572,5,246,157,5,1,3,0,0,hst_12064_1v_wfc3_ir_total_ibew1v
4,40.50414426,13.84788267,3,238,132,3,1,3,0,0,hst_12064_2e_wfc3_ir_total_ibew2e
2,4.958441173,2.44889363,10,0,0,14,3,3,1,0,hst_12067_a0_wfc3_uvis_total_ibf2a0
3,30.08188112,30.66467535,8,246,169,8,1,3,1,0,hst_12067_a0_wfc3_ir_total_ibf2a0
2,6.469666212999999,7.296717807,11,0,0,20,3,3,1,0,hst_12101_b0_wfc3_uvis_total_ibffb0
3,17.66538756,37.02247445,11,1403,194,11,1,3,1,0,hst_12101_b0_wfc3_ir_total_ibffb0
5,26.43281339,36.03301252,54,9868,7601,148,1,3,0,0,hst_12105_17_wfc3_ir_total_ibfg17
8,16.29597625,17.09243983,108,1212,1478,211,3,3,0,0,hst_12105_17_wfc3_uvis_total_ibfg17
5,21.64215933,23.08639471,32,10428,5689,88,1,3,0,0,hst_12109_01_wfc3_ir_total_ibfn01
8,13.87042208,12.15613344,64,1332,1493,129,3,3,0,1,hst_12109_01_wfc3_uvis_total_ibfn01
8,9.696962178,9.351222559,67,1076,2088,144,3,3,0,1,hst_12109_08_wfc3_uvis_total_ibfn08
5,66.12389369,59.44684118,34,10882,5670,94,1,3,0,0,hst_12109_08_wfc3_ir_total_ibfn08
8,12.79092294,12.33064843,25,549,1275,227,3,3,0,1,hst_12109_17_wfc3_uvis_total_ibfn17
5,43.69097233,32.5360548,24,7800,2951,145,1,3,0,0,hst_12109_17_wfc3_ir_total_ibfn17
8,4.2293224910000005,1.907307932,22,485,816,44,3,3,0,1,hst_12110_05_wfc3_uvis_total_ibfo05
5,21.38258255,36.90683295,26,9181,8361,30,1,3,0,0,hst_12110_05_wfc3_ir_total_ibfo05
1,-1.0,-1.0,2,3,3,12,1,2,3,0,hst_12181_08_wfc3_ir_total_ibh708
4,-1.0,-1.0,4,84,58,5,1,2,0,0,hst_12177_32_wfc3_ir_total_ibhj32
4,-1.0,-1.0,1,95,42,1,1,2,0,0,hst_12177_70_wfc3_ir_total_ibhj70
4,-1.0,-1.0,5,78,49,5,1,2,0,0,hst_12328_09_wfc3_ir_total_ibhm09
4,-1.0,-1.0,4,131,94,4,1,2,0,0,hst_12328_17_wfc3_ir_total_ibhm17
8,13.74016814,15.76090758,13,286,234,15,3,3,0,0,hst_12238_08_wfc3_uvis_total_ibhr08
16,15.82358894,9.091441125,33,263,189,31,3,3,0,0,hst_12238_15_wfc3_uvis_total_ibhr15
8,2.957062402,3.977675653,4,62,61,3,3,3,0,0,hst_12272_09_wfc3_uvis_total_ibi709
8,4.066021415,3.306880494,4,65,74,5,3,3,0,0,hst_12272_11_wfc3_uvis_total_ibi711
6,12.08595246,15.84924384,25,4121,3231,2089,3,3,2,0,hst_12174_08_wfc3_uvis_total_ibir08
16,3.787218125,3.742898909,5,8,19,59,3,3,1,0,hst_12201_06_wfc3_uvis_total_ibja06
12,8.622154892000001,12.8963442,8,20,16,9,3,3,0,0,hst_12310_44_wfc3_uvis_total_ibjc44
48,13.01595184,14.06904936,73,15028,9562,81,3,3,2,0,hst_12285_01_wfc3_uvis_total_ibku01
24,21.3725562,21.26360342,24,2804,4053,27,3,3,1,0,hst_12326_22_wfc3_uvis_total_ibkx22
2,46.87976994,9.26177714,2,157,131,2,1,3,5,0,hst_12286_0l_wfc3_ir_total_ibl70l
6,2.812778078,7.227948251,5,128,104,7,3,3,5,0,hst_12286_37_wfc3_uvis_total_ibl737
2,75.89636981,101.2900951,6,258,150,7,1,3,5,0,hst_12286_38_wfc3_ir_total_ibl738
2,41.70674508,29.75006907,5,258,183,7,1,3,5,0,hst_12286_52_wfc3_ir_total_ibl752
2,-1.0,-1.0,2,147,96,3,1,2,5,0,hst_12283_0o_wfc3_ir_total_ibl90o
1,-1.0,-1.0,4,76,56,8,1,2,5,0,hst_12283_2n_wfc3_ir_total_ibl92n
2,-1.0,-1.0,4,61,30,4,1,2,5,0,hst_12283_3d_wfc3_ir_total_ibl93d
1,-1.0,-1.0,3,154,125,3,1,2,5,0,hst_12283_40_wfc3_ir_total_ibl940
2,23.69265237,28.16871968,6,0,0,7,3,3,5,0,hst_12283_40_wfc3_uvis_total_ibl940
1,-1.0,-1.0,3,119,87,5,1,2,5,0,hst_12283_5e_wfc3_ir_total_ibl95e
2,-1.0,-1.0,34,194,149,35,1,2,5,0,hst_12283_5y_wfc3_ir_total_ibl95y
1,-1.0,-1.0,9,47,37,9,1,2,5,0,hst_12283_7t_wfc3_ir_total_ibl97t
4,0.0,0.0,1,0,0,1,1,3,2,1,hst_12354_29_wfc3_ir_total_iblo29
14,-1.0,-1.0,1,27,74,1,3,2,3,0,hst_12359_02_wfc3_uvis_total_ibmr02
8,11.82496102,19.22545831,32,7101,5342,39,3,3,5,0,hst_12298_51_wfc3_uvis_total_ibnd51
16,8.594159398,7.534812706,988,20467,0,3759,3,3,4,0,hst_12379_02_wfc3_uvis_total_ibnh02
4,5.446341473,5.793798796,508,11066,7308,2027,3,3,4,0,hst_12379_13_wfc3_uvis_total_ibnh13
4,31.32360883,24.98848207,9,291,199,9,1,3,3,0,hst_12360_f2_wfc3_ir_total_ibo1f2
4,9.303144504,8.869965815,14,104,114,14,3,3,3,0,hst_12360_f2_wfc3_uvis_total_ibo1f2
4,34.19062894,23.91124119,10,1941,456,10,1,3,1,0,hst_12360_l1_wfc3_ir_total_ibo1l1
4,6.905850797,6.837579605,25,0,0,27,3,3,1,0,hst_12360_l1_wfc3_uvis_total_ibo1l1
4,18.09680223,3.81014653,3,201,123,3,1,3,0,0,hst_12440_31_wfc3_ir_total_iboa31
4,13.89378503,31.66592736,7,207,124,7,1,3,0,0,hst_12440_45_wfc3_ir_total_iboa45
2,2.322904701,2.78044382,5,0,0,10,3,3,0,0,hst_12440_45_wfc3_uvis_total_iboa45
2,8.875236706,7.689126246,8,0,0,10,3,3,0,0,hst_12440_91_wfc3_uvis_total_iboa91
4,10.80432367,7.994508999,5,189,134,5,1,3,0,0,hst_12440_91_wfc3_ir_total_iboa91
6,8.935705423,13.81445024,4,0,0,4,3,3,0,0,hst_12443_1j_wfc3_uvis_total_iboe1j
4,59.29540634,11.59869563,4,182,124,4,1,3,0,0,hst_12443_1j_wfc3_ir_total_iboe1j
2,0.0,0.0,1,0,0,2,3,3,0,0,hst_12443_2p_wfc3_uvis_total_iboe2p
4,4.449758801000001,5.099412729,2,216,128,2,1,3,0,0,hst_12443_2p_wfc3_ir_total_iboe2p
2,46.95176875,116.6020619,17,0,0,7,3,3,0,0,hst_12444_4y_wfc3_uvis_total_iboi4y
4,0.4210763870000001,10.14945141,2,165,110,3,1,3,0,0,hst_12444_4y_wfc3_ir_total_iboi4y
4,5.019469647,1.51984852,2,0,0,3,3,3,0,0,hst_12444_6k_wfc3_uvis_total_iboi6k
4,0.0,0.0,1,208,156,1,1,3,0,0,hst_12444_6k_wfc3_ir_total_iboi6k
16,3.702728505,17.88135483,8,181,158,9,3,3,5,0,hst_12549_01_wfc3_uvis_total_ibpb01
16,11.4392894,18.83054752,5,75,116,6,3,3,5,0,hst_12549_11_wfc3_uvis_total_ibpb11
16,3.877149086,1.077022523,6,62,92,6,3,3,5,0,hst_12549_12_wfc3_uvis_total_ibpb12
8,5.9337376520000005,2.963991312,4,184,180,4,3,3,5,0,hst_12549_64_wfc3_uvis_total_ibpb64
10,12.88548853,18.37482289,8,193,245,8,3,3,5,0,hst_12549_71_wfc3_uvis_total_ibpb71
