numexp,rms_ra,rms_dec,nmatches,point,segment,gaia,det,wcs,cat,label,index
10,0.0,0.0,1,3,2,2.0,3,0,4,1.0,hst_11565_50_wfc3_uvis_total_ib3w50
4,33.30152848218321,24.77022382443164,17,536,205,17.0,1,0,6,0.0,hst_11530_01_wfc3_ir_total_ib3y01
21,23.51284930274766,19.32509154759679,56,7080,7075,144.0,1,0,5,0.0,hst_11671_03_wfc3_ir_total_ib4103
22,31.76370122977287,28.3725646704394,124,7342,7798,143.0,1,0,5,0.0,hst_11671_06_wfc3_ir_total_ib4106
4,19.19489637638666,20.61884464620152,307,4591,6349,479.0,1,0,4,0.0,hst_11665_02_wfc3_ir_total_ib4602
6,7.5129131773534,6.46153692477157,563,2939,3095,814.0,3,0,4,0.0,hst_11665_02_wfc3_uvis_total_ib4602
4,14.02479377316451,17.333081226082,3,52,28,4.0,1,1,2,0.0,hst_11597_11_wfc3_ir_total_ib5l11
21,17.21843832048493,17.83721434605448,766,10077,18739,1438.0,1,0,5,0.0,hst_11708_02_wfc3_ir_total_ib5w02
4,10.50789525606493,14.17667367435892,3,313,237,3.0,1,0,1,0.0,hst_11563_17_wfc3_ir_total_ib5x17
4,2.588163179037062,1.174068554016301,3,311,232,3.0,1,0,1,0.0,hst_11563_1d_wfc3_ir_total_ib5x1d
4,7.194928051414932,21.04527838124447,3,275,204,3.0,1,0,1,0.0,hst_11563_29_wfc3_ir_total_ib5x29
2,27.07843663577642,17.42708112918113,7,349,228,7.0,1,0,1,0.0,hst_11563_55_wfc3_ir_total_ib5x55
4,23.53810669482628,15.87275117276904,6,1517,569,7.0,1,0,1,0.0,hst_11563_5e_wfc3_ir_total_ib5x5e
4,0.7616112539411237,8.128275183550892,2,19,31,2.0,3,0,1,0.0,hst_11636_04_wfc3_uvis_total_ib6104
4,0.0045515111491365,2.50354181225986e-05,2,313,243,4.0,1,0,6,0.0,hst_11541_07_wfc3_ir_total_ib6807
6,0.0008450097677696,0.0005028037118188,2,662,288,4.0,1,0,1,0.0,hst_11523_2a_wfc3_ir_total_ib6l2a
4,3.138761301585328,1.621905007793118,3,377,629,4.0,3,0,1,0.0,hst_11523_2a_wfc3_uvis_total_ib6l2a
12,19.40055044165102,23.33723644981746,9,2146,327,9.0,1,0,6,0.0,hst_11359_07_wfc3_ir_total_ib6o07
6,7.83917803489445,5.447175205754098,5,134,118,7.0,1,0,6,0.0,hst_11359_11_wfc3_ir_total_ib6o11
12,13.38376614720589,11.11786920620796,536,4996,6859,1834.0,1,0,6,0.0,hst_11677_13_wfc3_ir_total_ib6v13
8,13.73318484704986,11.00272530080834,1142,18931,27657,2680.0,3,0,6,0.0,hst_11677_13_wfc3_uvis_total_ib6v13
7,41.95715870363449,35.58834896827313,97,3742,1183,261.0,1,0,1,0.0,hst_11360_61_wfc3_ir_total_ib6w61
9,16.62349109426921,14.35845229806753,260,31891,7221,368.0,3,0,1,0.0,hst_11360_61_wfc3_uvis_total_ib6w61
6,57.94000239769218,51.3508536917842,92,3769,1020,262.0,1,0,1,0.0,hst_11360_62_wfc3_ir_total_ib6w62
18,17.90680876608902,18.09574210541161,318,20656,11474,367.0,3,0,1,0.0,hst_11360_62_wfc3_uvis_total_ib6w62
8,15.47241954407237,14.36925638673177,293,8293,9491,367.0,3,0,1,0.0,hst_11360_63_wfc3_uvis_total_ib6w63
7,46.79874476274968,40.89391355093174,520,3399,4437,1642.0,1,0,5,0.0,hst_11360_d6_wfc3_ir_total_ib6wd6
11,15.31605973216386,13.7020842292697,1030,16088,52628,2151.0,3,0,5,0.0,hst_11360_d6_wfc3_uvis_total_ib6wd6
4,16.55415742348649,6.661763997963885,2,46,39,2.0,3,0,5,0.0,hst_11714_71_wfc3_uvis_total_ib7771
4,3.911117871517395,6.700407204792038,10,120,134,11.0,3,0,4,0.0,hst_11589_07_wfc3_uvis_total_ib7g07
6,2.135274727325771,18.26208544396985,2,32,31,2.0,3,0,4,0.0,hst_11589_09_wfc3_uvis_total_ib7g09
1,11.56988806269401,22.52759812296564,6,204,159,6.0,1,1,6,0.0,hst_11696_5d_wfc3_ir_total_ib8c5d
1,2.060036248071434,2.577141290407514,5,0,0,7.0,3,0,6,0.0,hst_11696_5d_wfc3_uvis_total_ib8c5d
2,0.0,0.0,0,31,18,10.0,1,1,6,0.0,hst_11696_5k_wfc3_ir_total_ib8c5k
1,21.02263390983998,31.08111470334871,6,195,167,6.0,1,1,6,0.0,hst_11696_7x_wfc3_ir_total_ib8c7x
1,3.623028383612064,3.11964002188717,9,0,0,9.0,3,0,6,0.0,hst_11696_7x_wfc3_uvis_total_ib8c7x
2,7.844721422420688,5.092067781581552,6,147,72,6.0,1,1,6,0.0,hst_11696_8c_wfc3_ir_total_ib8c8c
1,2.840227193154894,2.779789760114268,8,0,0,8.0,3,0,6,0.0,hst_11696_8c_wfc3_uvis_total_ib8c8c
2,15.99944797083177,16.6476345781532,4,97,57,4.0,1,1,6,0.0,hst_11696_a6_wfc3_ir_total_ib8ca6
2,70.86314888309273,88.81978622460684,4,115,72,4.0,1,1,6,0.0,hst_11696_ag_wfc3_ir_total_ib8cag
3,4.949466018185232,4.2006641030332,7,118,135,7.0,3,0,6,0.0,hst_11700_10_wfc3_uvis_total_ib8d10
3,12.97951628502775,8.015057299731511,8,320,140,8.0,1,0,6,0.0,hst_11700_1k_wfc3_ir_total_ib8d1k
2,1.118033193491921,1.550186865103435,5,145,115,6.0,1,0,6,0.0,hst_11700_30_wfc3_ir_total_ib8d30
1,0.0,0.0,1,267,199,1.0,1,0,6,0.0,hst_11700_61_wfc3_ir_total_ib8d61
2,1.90553688290195,1.701318664523789,3,418,198,4.0,1,0,6,0.0,hst_11702_59_wfc3_ir_total_ib8e59
6,1.968953174510987,2.495011002075673,11,494,481,130.0,3,1,4,1.0,hst_11935_01_wfc3_uvis_total_ibbr01
18,0.0,0.0,1,0,0,2.0,3,0,4,0.0,hst_11907_10_wfc3_uvis_total_ibbs10
18,0.0,0.0,1,0,0,2.0,3,0,4,0.0,hst_11907_d1_wfc3_uvis_total_ibbsd1
17,0.0,0.0,1,0,0,2.0,3,0,4,1.0,hst_11907_o1_wfc3_uvis_total_ibbso1
26,18.99394173458752,25.4791636968042,1698,124846,0,4374.0,3,0,0,1.0,hst_11911_03_wfc3_uvis_total_ibc303
38,0.0,0.0,1,8,1,4.0,3,0,0,0.0,hst_11903_06_wfc3_uvis_total_ibcd06
82,4.421462468452001,8.86014722067091,2,1,1,4.0,3,0,0,0.0,hst_11903_61_wfc3_uvis_total_ibcd61
28,2.998937888188185,1.089636557115415,3,4,6,8.0,3,0,0,1.0,hst_11903_b4_wfc3_uvis_total_ibcdb4
2,7.794905928323628,7.647554025968617,301,1816,3894,519.0,1,0,0,0.0,hst_11927_10_wfc3_ir_total_ibce10
32,0.0,0.0,0,4,1,4.0,1,1,0,0.0,hst_11926_61_wfc3_ir_total_ibcf61
30,23.19196612774224,21.45926044058032,13,18,11,14.0,1,0,4,0.0,hst_11926_81_wfc3_ir_total_ibcf81
2,1.546381114380558,2.444039108205417,4,6,6,117.0,3,0,6,0.0,hst_11878_06_wfc3_uvis_total_ibcl06
9,15.26401986742585,10.97242020377247,336,1783,2661,391.0,3,0,3,0.0,hst_12050_12_wfc3_uvis_total_ibdz12
1,16.3694771474646,23.45696530230875,245,75449,102441,1737.0,3,0,0,0.0,hst_12094_09_wfc3_uvis_total_ibe809
4,9.69172721383306,8.849763190364122,5,165,105,5.0,1,0,1,0.0,hst_12063_0p_wfc3_ir_total_ibeo0p
4,11.76926807222324,20.47312008864928,7,152,104,7.0,1,0,1,0.0,hst_12060_3z_wfc3_ir_total_ibet3z
4,7.914034822699335,13.80534371990357,3,117,76,3.0,1,0,1,0.0,hst_12061_gv_wfc3_ir_total_ibeugv
1,1.792655393435342,3.811193938644668,3,0,0,6.0,3,0,1,0.0,hst_12061_gv_wfc3_uvis_total_ibeugv
4,28.56280422851371,25.85441072919323,4,167,94,8.0,1,0,1,0.0,hst_12061_it_wfc3_ir_total_ibeuit
1,6.876169771070161,1.719622152332481,4,0,0,10.0,3,0,1,0.0,hst_12061_it_wfc3_uvis_total_ibeuit
4,39.7120805475481,29.82009689805607,4,130,74,5.0,1,0,1,0.0,hst_12062_eh_wfc3_ir_total_ibeveh
1,2.81405187141158,6.422889786759977,5,0,0,9.0,3,0,1,0.0,hst_12062_eh_wfc3_uvis_total_ibeveh
4,5.62166935692199,2.227080991364156,3,131,92,3.0,1,0,1,0.0,hst_12062_eo_wfc3_ir_total_ibeveo
1,12.59308233888008,6.606597817051743,4,0,0,7.0,3,0,1,0.0,hst_12062_eo_wfc3_uvis_total_ibeveo
4,0.0,1.14499968532686e-08,2,136,80,4.0,1,0,1,0.0,hst_12062_fz_wfc3_ir_total_ibevfz
1,21.668231446224,9.104334240430758,6,0,0,7.0,3,0,1,0.0,hst_12062_fz_wfc3_uvis_total_ibevfz
4,19.84947451222184,8.70305170686132,5,176,107,5.0,1,0,1,0.0,hst_12064_0z_wfc3_ir_total_ibew0z
4,29.65946155501622,34.09402572044868,5,246,157,5.0,1,0,1,0.0,hst_12064_1v_wfc3_ir_total_ibew1v
4,40.50414425942387,13.84788267451308,3,238,132,3.0,1,0,1,0.0,hst_12064_2e_wfc3_ir_total_ibew2e
3,30.08188112478942,30.66467534704966,8,246,169,8.0,1,0,2,0.0,hst_12067_a0_wfc3_ir_total_ibf2a0
1,4.958441172758957,2.448893629938548,10,0,0,14.0,3,0,2,0.0,hst_12067_a0_wfc3_uvis_total_ibf2a0
3,17.66538755872369,37.02247445126292,11,1403,194,11.0,1,0,2,0.0,hst_12101_b0_wfc3_ir_total_ibffb0
1,6.469666213255772,7.296717807339837,11,0,0,20.0,3,0,2,0.0,hst_12101_b0_wfc3_uvis_total_ibffb0
5,26.43281338979354,36.03301251988152,54,9868,7601,148.0,1,0,1,0.0,hst_12105_17_wfc3_ir_total_ibfg17
4,16.29597625008483,17.09243983157549,108,1212,1478,211.0,3,0,1,0.0,hst_12105_17_wfc3_uvis_total_ibfg17
5,21.64215932835151,23.08639471460053,32,10428,5689,88.0,1,0,1,0.0,hst_12109_01_wfc3_ir_total_ibfn01
4,13.8704220799427,12.1561334355269,64,1332,1493,129.0,3,0,1,1.0,hst_12109_01_wfc3_uvis_total_ibfn01
5,66.1238936913714,59.44684117632655,34,10882,5670,94.0,1,0,1,0.0,hst_12109_08_wfc3_ir_total_ibfn08
4,9.696962177693257,9.351222559285269,67,1076,2088,144.0,3,0,1,1.0,hst_12109_08_wfc3_uvis_total_ibfn08
5,43.69097233175769,32.53605479755468,24,7800,2951,145.0,1,0,1,0.0,hst_12109_17_wfc3_ir_total_ibfn17
4,12.79092294487016,12.33064843365221,25,549,1275,227.0,3,0,1,1.0,hst_12109_17_wfc3_uvis_total_ibfn17
5,21.38258255078766,36.90683295167791,26,9181,8361,30.0,1,0,1,0.0,hst_12110_05_wfc3_ir_total_ibfo05
4,4.229322491461043,1.907307932477868,22,485,816,44.0,3,0,1,1.0,hst_12110_05_wfc3_uvis_total_ibfo05
1,6.904043170856374,4.355401797482044,2,3,3,12.0,1,1,4,0.0,hst_12181_08_wfc3_ir_total_ibh708
4,9.811673922415745,5.07043608524483,4,84,58,5.0,1,1,1,0.0,hst_12177_32_wfc3_ir_total_ibhj32
4,0.0,0.0,1,95,42,1.0,1,1,1,0.0,hst_12177_70_wfc3_ir_total_ibhj70
4,4.439743438173798,9.872996823242511,5,78,49,5.0,1,1,1,0.0,hst_12328_09_wfc3_ir_total_ibhm09
4,6.396036925849183,7.414420771329964,4,131,94,4.0,1,1,1,0.0,hst_12328_17_wfc3_ir_total_ibhm17
4,13.74016813773291,15.76090758130205,13,286,234,15.0,3,0,1,0.0,hst_12238_08_wfc3_uvis_total_ibhr08
8,15.82358894383628,9.091441125430247,33,263,189,31.0,3,0,1,0.0,hst_12238_15_wfc3_uvis_total_ibhr15
4,2.957062401629202,3.977675652995846,4,62,61,3.0,3,0,1,0.0,hst_12272_09_wfc3_uvis_total_ibi709
4,4.066021415486889,3.306880493759141,4,65,74,5.0,3,0,1,0.0,hst_12272_11_wfc3_uvis_total_ibi711
3,12.08595245532324,15.84924384105282,25,4121,3231,2089.0,3,0,3,0.0,hst_12174_08_wfc3_uvis_total_ibir08
8,3.787218124814772,3.742898909481092,5,8,19,59.0,3,0,2,0.0,hst_12201_06_wfc3_uvis_total_ibja06
6,8.622154892124842,12.89634419986591,8,20,16,9.0,3,0,1,0.0,hst_12310_44_wfc3_uvis_total_ibjc44
24,13.01595183932515,14.06904936128829,73,15028,9562,81.0,3,0,3,0.0,hst_12285_01_wfc3_uvis_total_ibku01
12,21.37255619826694,21.26360341870989,24,2804,4053,27.0,3,0,2,0.0,hst_12326_22_wfc3_uvis_total_ibkx22
2,46.87976994297473,9.261777140118468,2,157,131,2.0,1,0,6,0.0,hst_12286_0l_wfc3_ir_total_ibl70l
3,2.81277807831128,7.227948250929026,5,128,104,7.0,3,0,6,0.0,hst_12286_37_wfc3_uvis_total_ibl737
2,75.89636981145989,101.2900950733322,6,258,150,7.0,1,0,6,0.0,hst_12286_38_wfc3_ir_total_ibl738
2,41.70674508421971,29.7500690730535,5,258,183,7.0,1,0,6,0.0,hst_12286_52_wfc3_ir_total_ibl752
2,0.0031734210153684,17.26503741538859,2,147,96,3.0,1,1,6,0.0,hst_12283_0o_wfc3_ir_total_ibl90o
1,5.017501767436563,24.11737427036231,4,76,56,8.0,1,1,6,0.0,hst_12283_2n_wfc3_ir_total_ibl92n
2,2.494980982210711,2.625899795935722,4,61,30,4.0,1,1,6,0.0,hst_12283_3d_wfc3_ir_total_ibl93d
1,5.586596743960341,12.1382933262781,3,154,125,3.0,1,1,6,0.0,hst_12283_40_wfc3_ir_total_ibl940
1,23.69265236896581,28.16871968350944,6,0,0,7.0,3,0,6,0.0,hst_12283_40_wfc3_uvis_total_ibl940
1,4.086061911231841,40.27005843747209,3,119,87,5.0,1,1,6,0.0,hst_12283_5e_wfc3_ir_total_ibl95e
2,44.44509010769893,40.53006908053196,34,194,149,35.0,1,1,6,0.0,hst_12283_5y_wfc3_ir_total_ibl95y
1,15.12233486142377,19.24696396624866,9,47,37,9.0,1,1,6,0.0,hst_12283_7t_wfc3_ir_total_ibl97t
4,11.82496102169627,19.22545830906715,32,7101,5342,39.0,3,0,6,0.0,hst_12298_51_wfc3_uvis_total_ibnd51
8,8.594159398181732,7.534812706455134,988,20467,0,3759.0,3,0,5,0.0,hst_12379_02_wfc3_uvis_total_ibnh02
2,5.446341472707537,5.79379879631512,508,11066,7308,2027.0,3,0,5,0.0,hst_12379_13_wfc3_uvis_total_ibnh13
4,31.32360882600348,24.98848206834241,9,291,199,9.0,1,0,4,0.0,hst_12360_f2_wfc3_ir_total_ibo1f2
2,9.30314450409515,8.869965814988996,14,104,114,14.0,3,0,4,0.0,hst_12360_f2_wfc3_uvis_total_ibo1f2
4,34.19062893698081,23.91124119045217,10,1941,456,10.0,1,0,2,0.0,hst_12360_l1_wfc3_ir_total_ibo1l1
2,6.905850797059185,6.837579604659197,25,0,0,27.0,3,0,2,0.0,hst_12360_l1_wfc3_uvis_total_ibo1l1
4,18.09680222607489,3.810146530189406,3,201,123,3.0,1,0,1,0.0,hst_12440_31_wfc3_ir_total_iboa31
4,13.89378502885863,31.66592735585168,7,207,124,7.0,1,0,1,0.0,hst_12440_45_wfc3_ir_total_iboa45
1,2.322904701237154,2.780443820238319,5,0,0,10.0,3,0,1,0.0,hst_12440_45_wfc3_uvis_total_iboa45
4,10.80432366509197,7.994508998500187,5,189,134,5.0,1,0,1,0.0,hst_12440_91_wfc3_ir_total_iboa91
1,8.875236706293572,7.689126246490927,8,0,0,10.0,3,0,1,0.0,hst_12440_91_wfc3_uvis_total_iboa91
4,59.29540633965947,11.59869562790587,4,182,124,4.0,1,0,1,0.0,hst_12443_1j_wfc3_ir_total_iboe1j
3,8.935705423068226,13.8144502373165,4,0,0,4.0,3,0,1,0.0,hst_12443_1j_wfc3_uvis_total_iboe1j
4,4.449758801306745,5.099412728835153,2,216,128,2.0,1,0,1,0.0,hst_12443_2p_wfc3_ir_total_iboe2p
1,0.0,0.0,1,0,0,2.0,3,0,1,0.0,hst_12443_2p_wfc3_uvis_total_iboe2p
4,0.4210763865719498,10.14945141098948,2,165,110,3.0,1,0,1,0.0,hst_12444_4y_wfc3_ir_total_iboi4y
1,46.95176875194275,116.6020619205153,17,0,0,7.0,3,0,1,0.0,hst_12444_4y_wfc3_uvis_total_iboi4y
4,0.0,0.0,1,208,156,1.0,1,0,1,0.0,hst_12444_6k_wfc3_ir_total_iboi6k
2,5.019469646580411,1.519848520134495,2,0,0,3.0,3,0,1,0.0,hst_12444_6k_wfc3_uvis_total_iboi6k
8,3.702728504570739,17.88135482970296,8,181,158,9.0,3,0,6,0.0,hst_12549_01_wfc3_uvis_total_ibpb01
8,11.4392894041226,18.83054752225138,5,75,116,6.0,3,0,6,0.0,hst_12549_11_wfc3_uvis_total_ibpb11
8,3.877149085544951,1.077022522899175,6,62,92,6.0,3,0,6,0.0,hst_12549_12_wfc3_uvis_total_ibpb12
4,5.933737651964193,2.963991311791029,4,184,180,4.0,3,0,6,0.0,hst_12549_64_wfc3_uvis_total_ibpb64
5,12.8854885324633,18.37482288568025,8,193,245,8.0,3,0,6,0.0,hst_12549_71_wfc3_uvis_total_ibpb71
4,47.94971596541271,36.00504444068451,9,136,174,8.0,3,0,6,0.0,hst_12549_76_wfc3_uvis_total_ibpb76
8,15.37713019347314,8.962002806954906,3,182,124,3.0,1,0,1,0.0,hst_12616_08_wfc3_ir_total_ibpu08
4,11.31128605817721,3.88281871214661,2,3,2,2.0,1,0,1,0.0,hst_12557_07_wfc3_ir_total_ibqk07
4,7.753315446236493,2.652217000024367,3,21,12,4.0,3,0,1,0.0,hst_12557_07_wfc3_uvis_total_ibqk07
4,0.8328293240937065,12.26991412468592,2,21,78,2.0,1,0,1,0.0,hst_12557_11_wfc3_ir_total_ibqk11
4,14.0030615090677,15.06367682046274,14,78,39,15.0,3,0,1,0.0,hst_12557_11_wfc3_uvis_total_ibqk11
14,14.19121254925038,14.22521723219467,155,2827,3693,167.0,3,0,4,0.0,hst_12541_02_wfc3_uvis_total_ibqt02
8,5.394362588915101,7.961190760401675,27,822,1153,28.0,3,0,1,0.0,hst_12525_03_wfc3_uvis_total_ibqv03
27,0.0,0.0,1,45,11,1.0,1,0,4,1.0,hst_12511_23_wfc3_ir_total_ibr623
17,20.73758201433585,15.90777433178446,4,1665,828,4.0,1,1,1,0.0,hst_12608_04_wfc3_ir_total_ibrb04
12,14.99227286792176,20.98119051750768,13,323,309,16.0,3,0,1,0.0,hst_12603_38_wfc3_uvis_total_ibs338
4,11.73780746506326,9.7048458124959,6,49,27,7.0,1,0,1,0.0,hst_12488_1y_wfc3_ir_total_ibs41y
4,13.21721823875139,15.2149883169215,7,51,48,8.0,1,0,1,0.0,hst_12488_2i_wfc3_ir_total_ibs42i
4,38.97574548583371,19.59143713476926,17,84,71,17.0,1,0,1,0.0,hst_12488_37_wfc3_ir_total_ibs437
4,0.4101477667566431,1.07671172661902,2,44,30,2.0,1,0,1,0.0,hst_12488_89_wfc3_ir_total_ibs489
16,17.9596919406974,33.77224399948818,5,105,76,6.0,1,0,1,0.0,hst_12496_02_wfc3_ir_total_ibsd02
5,6.38666092891359,5.930683173776329,896,22696,18286,1373.0,3,0,5,0.0,hst_12499_01_wfc3_uvis_total_ibsf01
4,0.0,0.0,1,133,93,1.0,1,0,1,0.0,hst_12502_10_wfc3_ir_total_ibsh10
5,28.2703084128253,23.39369497848888,15,2096,408,16.0,1,0,2,0.0,hst_12455_ab_wfc3_ir_total_ibsyab
5,24.45338469451457,24.76529755887179,44,2355,606,46.0,1,0,2,0.0,hst_12456_b8_wfc3_ir_total_ibt2b8
4,19.20848498075046,11.89104793114242,5,75,53,5.0,1,1,1,0.0,hst_12547_02_wfc3_ir_total_ibt302
1,0.0,0.0,0,1,1,1.0,1,1,4,0.0,hst_12550_57_wfc3_ir_total_ibt657
3,14.44150071031966,12.03981963001852,3,231,127,6.0,1,0,2,0.0,hst_12452_b5_wfc3_ir_total_ibt9b5
1,1.7305570696711,5.857884170731756,5,0,0,10.0,3,0,2,0.0,hst_12452_b5_wfc3_uvis_total_ibt9b5
4,625.832136453562,317.8678014811851,2,160,85,2.0,1,0,1,1.0,hst_12445_7m_wfc3_ir_total_ibtm7m
2,0.0,0.0,1,0,0,4.0,3,0,1,0.0,hst_12445_7m_wfc3_uvis_total_ibtm7m
2,27.83799243168614,18.23144195339543,37,0,0,129.0,3,0,4,0.0,hst_12679_25_wfc3_uvis_total_ibtq25
4,18.6974202635522,15.97497262637279,687,62973,75883,2548.0,3,0,6,0.0,hst_12586_27_wfc3_uvis_total_ibts27
4,18.14232422166249,16.60518218813953,657,59762,49889,2545.0,3,0,6,0.0,hst_12586_43_wfc3_uvis_total_ibts43
4,17.92918968897763,17.79869193408811,680,62244,52280,2566.0,3,0,6,0.0,hst_12586_47_wfc3_uvis_total_ibts47
1,6.734152149851803,5.199518814509459,6,119,78,6.0,1,1,6,0.0,hst_12568_3z_wfc3_ir_total_ibtt3z
1,0.0,0.0,1,73,29,1.0,1,1,6,0.0,hst_12568_85_wfc3_ir_total_ibtt85
2,6.01220790684553,10.56997964819539,5,257,29,5.0,1,0,0,0.0,hst_12701_04_wfc3_ir_total_ibty04
1,25.92636613591047,16.79106363779137,7,285,152,8.0,1,0,6,0.0,hst_12572_25_wfc3_ir_total_ibug25
1,6.326946812723564,8.874011904189054,4,0,0,12.0,3,0,6,0.0,hst_12572_25_wfc3_uvis_total_ibug25
3,7.342467151609218,13.5783103162829,6,329,151,8.0,1,0,6,0.0,hst_12572_33_wfc3_ir_total_ibug33
30,25.95320810784211,27.95391005530206,9,14,9,10.0,1,0,4,0.0,hst_12708_03_wfc3_ir_total_ibvg03
6,3.825309686749666,3.092218237059626,805,4694,4628,1040.0,3,0,5,0.0,hst_12692_01_wfc3_uvis_total_ibwb01
4,0.0,0.0,1,154,112,1.0,1,0,4,0.0,hst_12461_cb_wfc3_ir_total_ibwjcb
3,51.87264741026532,35.00380982422297,3,231,150,3.0,1,0,2,0.0,hst_12791_a8_wfc3_ir_total_ibxfa8
1,7.206336191946248,36.99330676566029,2,0,0,5.0,3,0,2,0.0,hst_12791_a8_wfc3_uvis_total_ibxfa8
18,7.745234663063266,7.341923476541877,686,6410,0,1061.0,3,0,3,0.0,hst_12812_04_wfc3_uvis_total_ibxl04
4,16.00079055380523,11.84587500035128,7,1021,402,9.0,1,0,1,0.0,hst_12930_15_wfc3_ir_total_ibxu15
4,30.41111753378569,34.08716364393968,396,4709,6926,772.0,1,0,5,0.0,hst_12939_3a_wfc3_ir_total_iby03a
4,34.24186700913789,31.18818905264898,367,3905,8673,561.0,1,0,5,0.0,hst_12939_3l_wfc3_ir_total_iby03l
5,9.765412792946629,8.12736000115476,977,10449,50612,3132.0,3,0,5,0.0,hst_12939_7b_wfc3_uvis_total_iby07b
5,6.414109813603815,5.574882596900331,265,3651,8473,958.0,3,0,5,0.0,hst_12939_7w_wfc3_uvis_total_iby07w
4,14.14819697972865,23.23617607101006,6,216,193,6.0,1,0,1,0.0,hst_12866_14_wfc3_ir_total_iby214
4,0.0,0.0,1,12,1,1.0,1,0,1,0.0,hst_12903_1l_wfc3_ir_total_iby81l
4,0.0,0.0,1,1,1,1.0,3,0,1,0.0,hst_12903_1l_wfc3_uvis_total_iby81l
11,27.72530282765506,26.15932421269632,268,3431,5835,336.0,1,0,5,0.0,hst_13038_11_wfc3_ir_total_ibya11
4,9.816265580384297,11.97962951732642,7,1052,1989,8.0,3,0,4,0.0,hst_13029_22_wfc3_uvis_total_ibyb22
8,15.52817507921476,21.51165293735272,7,23,13,8.0,1,0,1,0.0,hst_12874_07_wfc3_ir_total_ibyh07
16,2.046178447512987,1.417409464124918,5,5,5,5.0,3,0,1,0.0,hst_12874_07_wfc3_uvis_total_ibyh07
2,16.35988497397488,20.89057630858768,41,1119,393,44.0,1,0,4,0.0,hst_12967_07_wfc3_ir_total_ibyn07
10,11.98509573469413,14.23470428785061,54,540,917,56.0,3,0,4,0.0,hst_12967_07_wfc3_uvis_total_ibyn07
4,5.659973323862745,4.123408672885418,32,779,1368,34.0,3,0,6,0.0,hst_12925_11_wfc3_uvis_total_ibyq11
2,5.206541831343573,13.37383983668345,5,130,94,5.0,1,0,1,0.0,hst_13023_50_wfc3_ir_total_ibyt50
