numexp,rms_ra,rms_dec,nmatches,point,segment,gaia,det,wcs,cat,label,index
20,25.89462642224672,23.52141153142447,28,1705,4285,32.0,1,0,2,0.0,hst_11099_04_wfc3_ir_total_ia0m04
29,0.0,0.0,1,45,4,8.0,1,0,4,1.0,hst_11150_70_wfc3_ir_total_ia1s70
10,65.11691510390858,55.11409626398414,8,352,239,7.0,1,0,1,0.0,hst_11189_01_wfc3_ir_total_ia2101
3,45.88986824611155,30.18140176676904,40,139,98,41.0,1,0,5,0.0,hst_11549_q5_wfc3_ir_total_iaaxq5
10,11.30053802751704,9.269987441965004,12,55,51,54.0,3,0,5,0.0,hst_11549_q5_wfc3_uvis_total_iaaxq5
20,18.19374862308073,9.097450068260258,3,6,3,4.0,3,0,0,0.0,hst_11438_05_wfc3_uvis_total_iabk05
2,8.348482764220808,46.10652681566358,3,426,183,3.0,1,0,0,0.0,hst_11439_01_wfc3_ir_total_iabl01
4,21.18370521893219,21.10413581950025,70,1937,482,74.0,1,0,6,0.0,hst_11515_01_wfc3_ir_total_iacs01
2,19.44977602797143,18.1216300717034,57,305,360,117.0,3,0,6,0.0,hst_11515_01_wfc3_uvis_total_iacs01
5,0.0,0.0,1,1657,27,1.0,1,0,4,0.0,hst_11548_7x_wfc3_ir_total_ib0l7x
5,29.50404990796021,62.55980482668672,3,1162,84,3.0,1,0,4,0.0,hst_11548_b2_wfc3_ir_total_ib0lb2
4,1.855661294706668,1.849821673202054,7,10,16,15.0,3,0,1,0.0,hst_11732_19_wfc3_uvis_total_ib1319
4,11.66925588320226,3.297850053920961,9,9376,9899,11.0,3,0,1,0.0,hst_11570_0a_wfc3_uvis_total_ib1f0a
4,31.28800272513581,37.94019545595194,26,1867,456,75.0,1,0,1,0.0,hst_11570_0b_wfc3_ir_total_ib1f0b
1,16.05978630020835,17.19880664169115,79,0,0,108.0,3,0,1,0.0,hst_11570_0b_wfc3_uvis_total_ib1f0b
8,11.31931905573024,2.61899502440516,8,14803,12944,11.0,3,0,1,0.0,hst_11570_0c_wfc3_uvis_total_ib1f0c
4,23.16294834699305,11.97566185027803,9,5870,1950,9.0,1,0,1,0.0,hst_11570_85_wfc3_ir_total_ib1f85
1,8.69844936280056,5.303845742727444,7,0,0,14.0,3,0,1,0.0,hst_11570_85_wfc3_uvis_total_ib1f85
2,11.67237193880909,13.36419734806582,120,0,0,121.0,3,0,6,0.0,hst_11613_57_wfc3_uvis_total_ib2p57
6,7.48649272068585,6.673538419133312,178,515,899,183.0,3,0,3,0.0,hst_11723_c1_wfc3_uvis_total_ib31c1
4,21.97583551831992,20.41691856602869,5,152,98,5.0,1,1,2,0.0,hst_11648_03_wfc3_ir_total_ib3a03
5,9.754508756023068,9.787502615705083,625,12239,9075,2650.0,3,0,1,0.0,hst_11664_22_wfc3_uvis_total_ib3m22
20,42.82342080735594,37.08523136536679,643,12094,17702,2427.0,1,0,0,0.0,hst_11664_53_wfc3_ir_total_ib3m53
14,18.68072323230171,16.16685463638486,1083,48744,104535,3014.0,3,0,0,1.0,hst_11664_53_wfc3_uvis_total_ib3m53
