category,target,description,x_files,x_size,n_files,total_mb,drizcorr,pctecorr,crsplit,subarray,detector,dtype,instr,wallclock,memory,mem_bin,bin_pred,mem_pred,wall_pred,timestamp,ipst
G,M-33-FIELD2,GALAXY;SPIRAL,1.17724,1.63836,5,69,1,1,1,0,1,1,0,5217,2.804848,1.0,2,4.3649115562438965,8077,1629475837,jcnw14060
I,IRAS19309+2646,ISM;REFLECTION NEBULA,1.17724,0.7861899999999999,5,17,1,1,1,1,1,1,0,1661,1.08014,0.0,0,4.636298179626465,932,1629475837,j9fj90010
I,IRAS10520-6010,ISM;REFLECTION NEBULA,1.17724,0.7861899999999999,5,17,1,1,1,1,1,1,0,1961,1.079912,0.0,0,4.636298179626465,932,1629475837,j9fj92010
U,ANY,UNIDENTIFIED;PARALLEL FIELD,1.54657,1.87221,7,105,1,1,1,0,1,1,3,2448,3.494248,1.0,1,18.13007545471192,8609,1629475837,iehs06010
U,ANY,UNIDENTIFIED;PARALLEL FIELD,1.17724,1.64655,5,70,1,1,1,0,1,1,3,2113,2.783632,1.0,1,10.633747100830078,3991,1629475837,iehs07010
U,ANY,UNIDENTIFIED;PARALLEL FIELD,1.74076,2.02638,9,140,1,1,1,0,1,1,3,3703,4.220616000000001,1.0,3,23.01922035217285,11711,1629475837,iehs08010
U,ANY,UNIDENTIFIED;PARALLEL FIELD,1.17724,1.64655,5,70,1,1,1,0,1,1,3,2004,2.784584,1.0,1,10.633747100830078,3991,1629475837,iehs09010
U,ANY,UNIDENTIFIED;PARALLEL FIELD,1.17724,1.64655,5,70,1,1,1,0,1,1,3,2286,2.849264,1.0,1,10.633747100830078,3991,1629475837,iehs09020
U,ANY,UNIDENTIFIED;PARALLEL FIELD,1.54657,1.87221,7,105,1,1,1,0,1,1,3,2536,3.511892,1.0,1,18.13007545471192,8609,1629475837,iehs10010
U,ANY,UNIDENTIFIED;PARALLEL FIELD,-0.7599100000000001,1.23845,2,35,1,1,1,0,1,0,3,1442,2.098552,1.0,1,1.0877102613449097,1256,1629475837,iehs10t6q
U,ANY,UNIDENTIFIED;PARALLEL FIELD,1.54657,1.87221,7,105,1,1,1,0,1,1,3,3449,3.5676400000000004,1.0,1,18.13007545471192,8609,1629475837,iehs11010
U,ANY,UNIDENTIFIED;PARALLEL FIELD,1.17724,1.64655,5,70,1,1,1,0,1,1,3,1500,2.810868,1.0,1,10.633747100830078,3991,1629475837,iehs12010
U,ANY,UNIDENTIFIED;PARALLEL FIELD,1.17724,1.64655,5,70,1,1,1,0,1,1,3,2251,2.810452,1.0,1,10.633747100830078,3991,1629475837,iehs13010
